Item,CH105_inplane_C(1)(1),CH105_Time_SEC(1)(1),CH106_inplane_C(1)(1),CH106_Time_SEC(1)(1),CH107_inplane_C(1)(1),CH107_Time_SEC(1)(1),CH108_inplane_C(1)(1),CH108_Time_SEC(1)(1),CH109_inplane_C(1)(1),CH109_Time_SEC(1)(1),CH110_inplane_C(1)(1),CH110_Time_SEC(1)(1),CH125_inplane_C(1)(1),CH125_Time_SEC(1)(1),CH126_inplane_C(1)(1),CH126_Time_SEC(1)(1),CH127_inplane_C(1)(1),CH127_Time_SEC(1)(1),CH128_inplane_C(1)(1),CH128_Time_SEC(1)(1),CH129_inplane_C(1)(1),CH129_Time_SEC(1)(1),CH130_inplane_C(1)(1),CH130_Time_SEC(1)(1),CH205_throughplane_C(1)(1),CH205_Time_SEC(1)(1),CH206_throughplane_C(1)(1),CH206_Time_SEC(1)(1),CH207_throughplane_C(1)(1),CH207_Time_SEC(1)(1),CH208_throughplane_C(1)(1),CH208_Time_SEC(1)(1),CH209_throughplane_C(1)(1),CH209_Time_SEC(1)(1),CH210_throughplane_C(1)(1),CH210_Time_SEC(1)(1),CH225_throughplane_C(1)(1),CH225_Time_SEC(1)(1),CH226_throughplane_C(1)(1),CH226_Time_SEC(1)(1),CH227_throughplane_C(1)(1),CH227_Time_SEC(1)(1),CH228_throughplane_C(1)(1),CH228_Time_SEC(1)(1),CH229_throughplane_C(1)(1),CH229_Time_SEC(1)(1),CH230_throughplane_C(1)(1),CH230_Time_SEC(1)(1),
1,17.4021511,0,17.3676548,0.026252,17.3757381,0.054818,17.3464394,0.080939,17.3926067,0.106941,17.3551102,0.132943,17.4511566,0.158941,17.411356,0.184958,17.3714523,0.210937,17.3925571,0.236945,17.381216,0.262947,17.3670921,0.288947,17.4602585,0.348333,17.403513,0.374265,17.4181747,0.399939,17.4526234,0.425941,17.4373322,0.451942,17.475502,0.477945,17.4207878,0.503936,17.422863,0.529957,17.4713707,0.555943,17.4554996,0.581945,17.4726505,0.607947,17.4083538,0.633945,
2,17.4013062,4.946941,17.3712215,4.973227,17.3739166,4.998941,17.3496304,5.025258,17.393034,5.051202,17.3543282,5.076948,17.4523315,5.102944,17.4097309,5.12894,17.3763351,5.154944,17.3888416,5.180938,17.3830509,5.206947,17.3637218,5.232941,17.4684963,5.292348,17.4009953,5.318293,17.4215736,5.34394,17.4488411,5.369942,17.4369678,5.395944,17.4801846,5.42195,17.4168396,5.451221,17.4279423,5.477133,17.4705296,5.505657,17.455265,5.531939,17.4738407,5.557945,17.4096355,5.583941,
3,17.4049606,9.950226,17.3698559,9.976488,17.3766403,10.002425,17.3499832,10.028293,17.3949108,10.054219,17.353653,10.080141,17.4559937,10.105941,17.4118557,10.131938,17.3719902,10.157946,17.3934669,10.186507,17.3812847,10.212394,17.3668842,10.238305,17.4602375,10.297944,17.4049625,10.323946,17.4204597,10.349941,17.4530907,10.375943,17.4378872,10.401945,17.4747696,10.427944,17.4230404,10.45394,17.4223881,10.480248,17.4711666,10.506182,17.4598217,10.534747,17.4730816,10.56094,17.4136429,10.586944,
4,17.4029465,14.947144,17.3691902,14.979024,17.3797379,15.004944,17.3503399,15.030942,17.3936405,15.056942,17.3571625,15.082936,17.4514542,15.108948,17.4131432,15.134942,17.3734684,15.161034,17.3938026,15.189461,17.3828754,15.215011,17.3628521,15.240945,17.4630184,15.300385,17.4046612,15.326082,17.4234734,15.35199,17.4498291,15.377939,17.442461,15.403943,17.4709263,15.429944,17.4264297,15.455944,17.4239597,15.481964,17.4675655,15.510241,17.4623775,15.536174,17.4669991,15.564708,17.4154758,15.590941,
5,17.4045143,19.947938,17.37006,19.974212,17.3766575,20.008702,17.3529263,20.034939,17.3927898,20.060958,17.3589134,20.086946,17.4508286,20.112939,17.4151917,20.138943,17.3727264,20.164942,17.3904362,20.190943,17.3837605,20.216946,17.3618755,20.245497,17.4714031,20.304941,17.3976688,20.330942,17.4263,20.356943,17.4476986,20.382937,17.4428406,20.408943,17.4739685,20.434943,17.4213085,20.460942,17.4298401,20.486972,17.463747,20.51792,17.4623451,20.543941,17.4731979,20.569939,17.4108067,20.595943,
6,17.4042339,24.947073,17.3727093,24.975965,17.3779125,25.00194,17.3514881,25.02795,17.3975334,25.05394,17.3565006,25.079937,17.4560242,25.105947,17.4114666,25.131954,17.3723087,25.157943,17.3931847,25.184126,17.380722,25.21294,17.3674793,25.238937,17.462534,25.298359,17.4063702,25.324077,17.4217339,25.349994,17.45294,25.375942,17.4387627,25.401939,17.476141,25.427942,17.4247379,25.453941,17.4229679,25.479955,17.4716167,25.50595,17.4582558,25.532415,17.4729156,25.561029,17.415369,25.587245,
7,17.4047165,29.946942,17.3733311,29.973201,17.3809986,30.004724,17.3519688,30.030941,17.3951435,30.056943,17.3575039,30.082936,17.4516983,30.108944,17.4130669,30.134936,17.3737659,30.160938,17.3945465,30.186972,17.381731,30.214531,17.3647251,30.243408,17.4687595,30.302939,17.4019413,30.328942,17.4306259,30.354955,17.4454975,30.38094,17.4438839,30.406944,17.4743137,30.43294,17.425705,30.45894,17.4258175,30.484943,17.466486,30.510939,17.4647121,30.537037,17.4703331,30.567113,17.4152164,30.592946,
8,17.40518,34.946943,17.3740215,34.972945,17.3789482,34.99894,17.3541489,35.025162,17.3962021,35.050947,17.3576775,35.076944,17.4551582,35.102941,17.4113464,35.128957,17.3779945,35.154942,17.3904247,35.18095,17.3823357,35.206944,17.365839,35.232938,17.4701309,35.2929,17.4092884,35.321483,17.4166908,35.347412,17.4545803,35.373573,17.4381161,35.399122,17.4795132,35.425008,17.4200077,35.450944,17.4298859,35.476956,17.4686947,35.502943,17.4597015,35.528938,17.478611,35.554939,17.4085217,35.580943,
9,17.4092598,39.948183,17.3728924,39.974421,17.3817692,40.003277,17.3521824,40.029249,17.3989296,40.055218,17.3588219,40.080941,17.4529285,40.106942,17.4134216,40.132955,17.3735619,40.158942,17.3935051,40.184939,17.382225,40.210946,17.3680515,40.236945,17.4640255,40.296335,17.4078007,40.32476,17.4288979,40.353348,17.4475918,40.379277,17.4477654,40.405231,17.473156,40.430945,17.4246445,40.456941,17.4250946,40.482958,17.469965,40.508941,17.462822,40.534944,17.4717312,40.560943,17.4170265,40.586942,
10,17.4086456,44.955411,17.3745098,44.981648,17.3792953,45.007944,17.3565826,45.033948,17.3968735,45.05994,17.3614826,45.085948,17.4502373,45.111939,17.4151897,45.13794,17.3747387,45.163946,17.3917542,45.189943,17.3840351,45.215944,17.3640251,45.241946,17.4672623,45.301011,17.4039612,45.327092,17.42486,45.356601,17.4491005,45.38294,17.444109,45.408937,17.4785938,45.434946,17.4194927,45.460944,17.4335155,45.486956,17.4619408,45.512937,17.4661884,45.538943,17.4711838,45.564936,17.4171066,45.590941,
